Country!Year!TotalCO2(Tonnes)!Population!PopulationString!emiperpop
Angola!2004!20.5044!15976715!15,976,715!1.28339273749328e-06
Angola!2005!19.3739!16544376!16,544,376!1.17102633547497e-06
Angola!2006!20.7232!17122409!17,122,409!1.21029698566364e-06
Angola!2007!23.403!17712824!17,712,824!1.32124612088959e-06
Angola!2008!25.0796!18314441!18,314,441!1.36938932506867e-06
Angola!2009!27.2276!18926650!18,926,650!1.43858527526002e-06
Angola!2010!28.9668!19549124!19,549,124!1.48174414362505e-06
Angola!2011!28.4594!20180490!20,180,490!1.41024325970281e-06
Antigua & Barbuda!1960!0.0366!54681!54,681!6.69336698304713e-07
Antigua & Barbuda!1961!0.0476!55403!55,403!8.59159251304081e-07
Antigua & Barbuda!1962!0.1026!56311!56,311!1.82202411606968e-06
Antigua & Barbuda!1963!0.0843!57368!57,368!1.46946032631432e-06
Antigua & Barbuda!1964!0.0916!58500!58,500!1.56581196581197e-06
Antigua & Barbuda!1965!0.1502!59653!59,653!2.51789516034399e-06
Antigua & Barbuda!1966!0.3481!60818!60,818!5.72363445032721e-06
Antigua & Barbuda!1967!0.5643!62002!62,002!9.10131931228025e-06
Antigua & Barbuda!1968!0.9893!63176!63,176!1.56594276307459e-05
Antigua & Barbuda!1969!1.2568!64307!64,307!1.95437510690905e-05
Antigua & Barbuda!1970!0.4617!65369!65,369!7.06298092367942e-06
Antigua & Barbuda!1971!0.425!66338!66,338!6.40658446139468e-06
Antigua & Barbuda!1972!0.3737!67205!67,205!5.56059816977903e-06
Antigua & Barbuda!1973!0.3298!67972!67,972!4.85199788148061e-06
Antigua & Barbuda!1974!0.4287!68655!68,655!6.24426480227223e-06
Antigua & Barbuda!1975!0.7072!69253!69,253!1.0211831978398e-05
Antigua & Barbuda!1976!0.403!69782!69,782!5.77512825657046e-06
Antigua & Barbuda!1977!0.4653!70223!70,223!6.62603420531735e-06
Antigua & Barbuda!1978!0.491!70508!70,508!6.96374879446304e-06
Antigua & Barbuda!1979!0.4067!70553!70,553!5.76446075999603e-06
Antigua & Barbuda!1980!0.1429!70301!70,301!2.03268801297279e-06
Antigua & Barbuda!1981!0.1063!69750!69,750!1.52401433691756e-06
Antigua & Barbuda!1982!0.2931!68950!68,950!4.25090645395214e-06
Antigua & Barbuda!1983!0.0843!67958!67,958!1.24047205627005e-06
Antigua & Barbuda!1984!0.1466!66863!66,863!2.19254296097991e-06
Antigua & Barbuda!1985!0.2492!65744!65,744!3.79045996592845e-06
Antigua & Barbuda!1986!0.2492!64605!64,605!3.85728658772541e-06
Antigua & Barbuda!1987!0.2748!63484!63,484!4.32864973851679e-06
Antigua & Barbuda!1988!0.2858!62538!62,538!4.5700214269724e-06
Antigua & Barbuda!1989!0.2858!61967!61,967!4.61213226394694e-06
Antigua & Barbuda!1990!0.3004!61906!61,906!4.8525183342487e-06
Antigua & Barbuda!1991!0.2931!62412!62,412!4.69621226687176e-06
Antigua & Barbuda!1992!0.2931!63434!63,434!4.62055049342624e-06
Antigua & Barbuda!1993!0.3078!64868!64,868!4.7450206573349e-06
Antigua & Barbuda!1994!0.3114!66550!66,550!4.67918858001503e-06
Antigua & Barbuda!1995!0.3224!68349!68,349!4.71696732944154e-06
Antigua & Barbuda!1996!0.3224!70245!70,245!4.58965050893302e-06
Antigua & Barbuda!1997!0.3371!72232!72,232!4.66690663417876e-06
Antigua & Barbuda!1998!0.3334!74206!74,206!4.4928981483977e-06
Antigua & Barbuda!1999!0.3481!76041!76,041!4.57779355873805e-06
Antigua & Barbuda!2000!0.3444!77648!77,648!4.43540078302081e-06
Antigua & Barbuda!2001!0.3444!78972!78,972!4.36103935572101e-06
Antigua & Barbuda!2002!0.3627!80030!80,030!4.5320504810696e-06
Antigua & Barbuda!2003!0.3884!80904!80,904!4.80075150796005e-06
Antigua & Barbuda!2004!0.4067!81718!81,718!4.97687168065787e-06
Antigua & Barbuda!2005!0.4104!82565!82,565!4.97062920123539e-06
Antigua & Barbuda!2006!0.425!83467!83,467!5.09183270034864e-06
Antigua & Barbuda!2007!0.4433!84397!84,397!5.2525563704871e-06
Antigua & Barbuda!2008!0.458!85349!85,349!5.36620229879671e-06
Antigua & Barbuda!2009!0.4983!86300!86,300!5.77404403244496e-06
Antigua & Barbuda!2010!0.513!87233!87,233!5.88080199007256e-06
Antigua & Barbuda!2011!0.7316!88152!88,152!8.29930120700608e-06
Argentina!1960!48.7752!20623998!20,623,998!2.36497307651019e-06
Argentina!1961!51.1384!20959241!20,959,241!2.43989751346435e-06
Argentina!1962!53.652!21295290!21,295,290!2.51943035290902e-06
Argentina!1963!50.0429!21630854!21,630,854!2.31349626787736e-06
Argentina!1964!55.6855!21963952!21,963,952!2.53531331702054e-06
Argentina!1965!58.8182!22293817!22,293,817!2.63831895632767e-06
Argentina!1966!60.7418!22618887!22,618,887!2.68544601686193e-06
Argentina!1967!62.6874!22941477!22,941,477!2.73249189666385e-06
Argentina!1968!66.1499!23269302!23,269,302!2.84279691758696e-06
Argentina!1969!74.4342!23612675!23,612,675!3.15229850069931e-06
Argentina!1970!79.8569!23978532!23,978,532!3.33034983125739e-06
Argentina!1971!85.5353!24370660!24,370,660!3.50976543105521e-06
Argentina!1972!86.455!24785830!24,785,830!3.48808169829294e-06
Argentina!1973!90.1031!25215328!25,215,328!3.57334633917909e-06
Argentina!1974!90.2857!25646533!25,646,533!3.52038616681639e-06
Argentina!1975!88.2324!26070443!26,070,443!3.38438437735791e-06
Argentina!1976!92.4069!26483835!26,483,835!3.48918123073943e-06
Argentina!1977!96.2298!26889764!26,889,764!3.57867774518214e-06
Argentina!1978!95.6974!27293093!27,293,093!3.50628637069459e-06
Argentina!1979!101.0632!27701412!27,701,412!3.6483050033695e-06
Argentina!1980!99.1741!28120135!28,120,135!3.52680028029737e-06
Argentina!1981!97.6723!28550123!28,550,123!3.42108158343136e-06
Argentina!1982!99.1181!28989069!28,989,069!3.41915430260972e-06
Argentina!1983!102.722!29435404!29,435,404!3.4897431677853e-06
Argentina!1984!101.6362!29886564!29,886,564!3.40073218185938e-06
Argentina!1985!96.2166!30340419!30,340,419!3.17123504457865e-06
Argentina!1986!100.1694!30796481!30,796,481!3.25262486970508e-06
Argentina!1987!109.7591!31254574!31,254,574!3.51177718819652e-06
Argentina!1988!113.8021!31713147!31,713,147!3.58848335045399e-06
Argentina!1989!112.8124!32170407!32,170,407!3.50671348360622e-06
Argentina!1990!106.357!32624874!32,624,874!3.25999726466377e-06
