Year,Kick,Team,Opponent,Kicker,Position,Keeper,Scored
2014,1,Greece,Costa Rica,Mitroglou,Forward,Navas,TRUE
2014,2,Costa Rica,Greece,Ruiz,Midfielder,Karnezis,TRUE
2014,2,Greece,Costa Rica,Christodoulopoulos,Midfielder,Navas,TRUE
2014,3,Costa Rica,Greece,González,Defender,Karnezis,TRUE
2014,3,Greece,Costa Rica,Holebas,Defender,Navas,TRUE
2014,4,Costa Rica,Greece,Campbell ,Forward,Karnezis,TRUE
2014,4,Greece,Costa Rica,Gekas,Forward,Navas,FALSE
2014,5,Costa Rica,Greece,Umaña,Defender,Karnezis,TRUE
2014,1,Costa Rica,Netherlands,Borges,Midfielder,Krul,TRUE
2014,1,Netherlands,Costa Rica,Van Persie,Forward,Navas,TRUE
2014,2,Costa Rica,Netherlands,Ruiz,Midfielder,Krul,FALSE
2014,2,Netherlands,Costa Rica,Robben,Midfielder,Navas,TRUE
2014,3,Costa Rica,Netherlands,González,Defender,Krul,TRUE
2014,3,Netherlands,Costa Rica,Sneijder,Midfielder,Navas,TRUE
2014,4,Costa Rica,Netherlands,Bolaños,Midfielder,Krul,TRUE
2014,4,Netherlands,Costa Rica,Kuyt,Defender,Navas,TRUE
2014,5,Costa Rica,Netherlands,Umaña,Defender,Krul,FALSE
2014,1,Netherlands,Argentina,Vlaar,Defender,Romero,FALSE
2014,1,Argentina,Netherlands,Messi,Forward,Cillessen,TRUE
2014,2,Netherlands,Argentina,Robben,Forward,Romero,TRUE
2014,2,Argentina,Netherlands,Garay,Defender,Cillessen,TRUE
2014,3,Netherlands,Argentina,Sneijder,Midfielder,Romero,FALSE
2014,3,Argentina,Netherlands,Agüero,Forward,Cillessen,TRUE
2014,4,Netherlands,Argentina,Kuyt,Defender,Romero,TRUE
2014,4,Argentina,Netherlands,Rodríguez,Midfielder,Cillessen,TRUE
